"year","sector","maara","sector2","col","ran","decim","si","lab"
2029,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2030,"diff",NA,"Metsämaa ja puutuotteet","#4017E6",2,1,0.45,"Tavoitteen ylitys/alitus, Mt"
2009,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2006,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2005,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2012,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2008,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2010,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2011,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2014,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2013,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2007,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2015,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2016,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2017,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2020,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2019,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2018,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2023,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2021,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2022,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2024,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
2025,"cumu",NA,"Metsämaa ja puutuotteet","#17A8E6",1,1,0.9,"Ylitysten/alitusten kertymä, Mt"
